Poster,No_Bedroom,Area,Apartment_Type,Furniture_Type,Price,Latitude,Longitude
 cá nhân ,3.0,110.0,chung cư thường,full,10.5,20.9975498,105.8093537
 cá nhân ,2.0,66.0,chung cư thường,full,6.0,20.9669852,105.833383
 môi giới ,3.0,96.0,chung cư thường,full,15.0,21.0738351,105.8076991
 môi giới ,2.0,70.0,chung cư thường,full,7.0,21.0250451,105.9078847
 môi giới ,2.0,68.0,chung cư thường,cơ bản,8.0,21.0461519,105.9156477
 môi giới ,3.0,124.0,chung cư thường,full,16.0,20.9898009,105.7615252
 cá nhân ,2.0,100.0,chung cư tập thể,unk,5.5,21.0302598,105.8173985
 môi giới ,3.0,130.0,chung cư thường,full,17.0,21.0215526,105.7878867
 môi giới ,3.0,100.0,chung cư thường,cơ bản,20.0,20.9997728,105.8145324
 môi giới ,2.0,70.0,chung cư thường,cơ bản,7.5,21.0221606,105.771796
 môi giới ,2.0,80.0,chung cư thường,unk,11.0,20.9838668,105.8429164
 môi giới ,2.0,70.0,chung cư thường,full,9.5,21.0586359,105.7831992
 môi giới ,3.0,105.0,chung cư thường,cơ bản,13.0,20.9898009,105.7615252
 cá nhân ,1.0,28.0,chung cư thường,full,4.3,20.9760549,105.8195746
 môi giới ,2.0,93.0,chung cư thường,unk,9.0,21.0586359,105.7831992
 cá nhân ,1.0,30.0,chung cư thường,full,3.9,21.07043,105.8091699
 môi giới ,2.0,72.0,chung cư thường,cơ bản,7.0,20.9599379,105.8337546
 môi giới ,2.0,75.0,chung cư thường,full,8.0,20.9895261,105.8654771
 môi giới ,2.0,68.0,chung cư thường,cơ bản,8.0,21.0461519,105.9156477
 môi giới ,1.0,45.0,chung cư thường,full,4.6,20.9599379,105.8337546
 môi giới ,3.0,105.0,chung cư thường,unk,9.5,20.9749347,105.7808936
 môi giới ,2.0,75.0,chung cư thường,full,18.0,21.0597044,105.8045357
 cá nhân ,2.0,60.0,chung cư cao cấp,full,5.5,21.0058026,105.8549049
 môi giới ,1.0,45.0,chung cư thường,full,4.5,20.9599379,105.8337546
 môi giới ,2.0,75.0,chung cư thường,full,11.0,21.0229964,105.7928028
 môi giới ,2.0,80.0,chung cư thường,unk,8.0,21.0306461,105.7692892
 môi giới ,2.0,53.0,chung cư thường,unk,6.5,20.9647702,105.8454281
 cá nhân ,2.0,52.0,chung cư thường,unk,7.5,20.9647702,105.8454281
 môi giới ,2.0,52.0,chung cư thường,full,6.5,21.0568767,105.9171515
 môi giới ,3.0,80.0,chung cư thường,cơ bản,6.5,21.0627864,105.9083056
 cá nhân ,1.0,45.0,chung cư thường,nguyên bản,5.0,21.0192184,105.8511736
 môi giới ,2.0,70.0,chung cư thường,full,10.0,21.0852602,105.816961
 môi giới ,2.0,84.0,chung cư thường,full,10.0,21.0442326,105.7673186
 môi giới ,3.0,99.0,chung cư thường,full cao cấp,20.0,21.0105633,105.7994223
 môi giới ,3.0,124.0,chung cư thường,full,10.0,21.0344536,105.7658695
 môi giới ,3.0,100.0,chung cư thường,full,12.0,21.0462329,105.7902764
 môi giới ,2.0,75.0,chung cư thường,unk,7.0,21.0220401,105.7977417
 môi giới ,3.0,124.0,chung cư thường,full,9.5,21.0344536,105.7658695
 môi giới ,2.0,87.0,chung cư thường,cơ bản,9.0,21.0630541,105.7958457
 môi giới ,2.0,72.0,chung cư thường,full cao cấp,16.0,21.0043594,105.7944744
 môi giới ,3.0,103.0,chung cư thường,full,12.0,21.0174168,105.7820991
 môi giới ,1.0,38.0,chung cư mini,full,6.0,20.9924553,105.8156943
 môi giới ,2.0,100.0,chung cư thường,unk,12.0,21.0359385,105.793827
 cá nhân ,1.0,35.0,chung cư mini,full,4.5,21.0461151,105.8032183
 môi giới ,1.0,30.0,chung cư thường,full cao cấp,6.0,21.0041237,105.7819569
 môi giới ,1.0,25.0,chung cư thường,full,4.5,21.0016745,105.7996746
 cá nhân ,2.0,70.0,chung cư thường,full cao cấp,7.5,20.9771639,105.7469454
 cá nhân ,1.0,20.0,chung cư studio,full,3.5,21.056117,105.8658584
 cá nhân ,2.0,70.0,chung cư thường,unk,3.3,21.0576242,105.89015
 môi giới ,1.0,15.0,chung cư mini,unk,1.3,20.9944101,105.8075717
 môi giới ,1.0,43.0,chung cư thường,full,3.0,21.0164183,105.9448441
 môi giới ,1.0,40.0,chung cư thường,full cao cấp,5.8,21.0309733,105.7847844
 môi giới ,1.0,45.0,chung cư thường,full cao cấp,7.0,21.036819,105.7808467
 cá nhân ,1.0,45.0,chung cư thường,full,5.0,20.9648542,105.8277216
 môi giới ,2.0,86.0,chung cư thường,cơ bản,7.0,21.0333475,105.7698529
 môi giới ,2.0,60.0,chung cư thường,full cao cấp,9.0,21.0041237,105.7819569
 cá nhân ,2.0,65.0,chung cư thường,full,7.5,20.9831371,105.8319653
 môi giới ,2.0,50.0,chung cư tập thể,full,4.5,21.0109377,105.8566479
 cá nhân ,2.0,53.0,chung cư thường,unk,7.0,20.9642105,105.8452224
 môi giới ,3.0,80.0,chung cư tập thể,cơ bản,6.5,21.0257006,105.8228378
 môi giới ,1.0,45.0,chung cư thường,full cao cấp,7.0,21.0365018,105.7855108
 môi giới ,2.0,70.0,chung cư thường,full cao cấp,12.0,21.0365018,105.7855108
 cá nhân ,2.0,73.0,chung cư thường,full,8.0,21.037222,105.775981
 môi giới ,2.0,90.0,chung cư thường,full,9.0,20.9873542,105.8506232
 môi giới ,2.0,55.0,chung cư thường,full,7.5,20.9587688,105.8463162
 môi giới ,2.0,65.0,chung cư tập thể,unk,6.0,20.9984988,105.8376899
 môi giới ,2.0,50.0,chung cư tập thể,unk,6.5,21.0227637,105.8552087
 môi giới ,1.0,45.0,chung cư thường,full cao cấp,7.0,21.0362115,105.7869772
 cá nhân ,3.0,162.0,chung cư thường,full,20.0,21.0070457,105.8029953
 cá nhân ,1.0,30.0,chung cư tập thể,full,4.6,21.0044141,105.8541347
 môi giới ,1.0,35.0,chung cư mini,full,4.0,21.0462783,105.7955725
 cá nhân ,2.0,87.0,chung cư thường,full,5.0,21.203269,105.7798001
 cá nhân ,2.0,53.0,chung cư thường,full,7.5,20.9642105,105.8452224
 môi giới ,2.0,55.0,chung cư thường,full,7.0,21.021683,105.8150866
 môi giới ,2.0,60.0,chung cư thường,full,7.5,21.020345,105.8122379
 cá nhân ,2.0,58.0,chung cư thường,full,7.0,21.0660875,105.7639698
 môi giới ,2.0,45.0,chung cư thường,full,5.8,20.9909019,105.863201
 môi giới ,1.0,30.0,chung cư thường,full,3.5,20.9857411,105.7983385
 cá nhân ,3.0,90.0,chung cư thường,full,14.0,21.0586359,105.7831992
 cá nhân ,3.0,55.0,chung cư thường,full cao cấp,5.0,21.0057343,105.7485358
 môi giới ,2.0,80.0,chung cư thường,full,7.0,20.983687,105.848156
 cá nhân ,1.0,30.0,chung cư mini,full cao cấp,3.5,21.0527849,105.730777
 cá nhân ,1.0,35.0,chung cư thường,full,7.0,21.05374,105.8119908
 môi giới ,1.0,30.0,chung cư thường,full,3.0,21.0507579,105.8075708
 cá nhân ,2.0,44.0,chung cư tập thể,nguyên bản,4.0,21.0238389,105.8310412
 cá nhân ,2.0,70.0,chung cư tập thể,full,5.0,21.0283641,105.8401689
 cá nhân ,3.0,115.0,chung cư thường,full,15.0,21.0060414,105.8065104
 môi giới ,3.0,83.0,chung cư thường,unk,8.0,20.9599379,105.8337546
 cá nhân ,2.0,60.0,chung cư thường,full,6.5,21.0416549,105.7932017
 môi giới ,3.0,125.0,chung cư thường,full,25.0,21.011456,105.86299
 cá nhân ,1.0,43.0,chung cư thường,full,8.0,21.0057343,105.7485358
 môi giới ,2.0,70.0,chung cư thường,unk,7.0,21.0067122,105.8205443
 môi giới ,2.0,55.0,chung cư thường,full,5.0,21.0164183,105.9448441
 môi giới ,2.0,82.0,chung cư thường,cơ bản,7.0,20.9599379,105.8337546
 cá nhân ,1.0,38.0,chung cư thường,full,4.8,21.0339527,105.7850022
 môi giới ,1.0,25.0,chung cư studio,full,3.2,21.047768,105.7615252
 môi giới ,2.0,55.0,chung cư studio,full,3.5,21.0164183,105.9448441
 cá nhân ,3.0,70.0,chung cư tập thể,unk,5.0,21.0134796,105.8523026
 môi giới ,1.0,38.0,chung cư thường,full cao cấp,10.0,21.0043594,105.7944744
 môi giới ,2.0,75.0,chung cư thường,full,12.5,21.0319529,105.7995321
 môi giới ,2.0,72.0,chung cư thường,full cao cấp,13.0,21.0105633,105.7994223
 môi giới ,2.0,95.0,chung cư thường,full,9.0,21.0002695,105.8375783
 môi giới ,2.0,55.0,chung cư thường,full,4.5,21.0164183,105.9448441
 môi giới ,3.0,130.0,chung cư thường,full,9.0,21.0306915,105.7592122
 cá nhân ,1.0,50.0,chung cư thường,unk,3.8,21.0125508,105.7709593
 môi giới ,2.0,86.0,chung cư thường,unk,8.0,21.0333475,105.7698529
 cá nhân ,1.0,30.0,chung cư mini,full,3.6,20.9663677,105.8162878
 môi giới ,2.0,85.0,chung cư thường,full,10.0,21.0161952,105.7802602
 môi giới ,2.0,105.0,chung cư thường,full,13.5,21.0053431,105.825256
 môi giới ,1.0,35.0,chung cư mini,full,4.8,21.0105633,105.7994223
 cá nhân ,2.0,87.0,chung cư thường,full,8.5,20.9873542,105.8506232
 môi giới ,2.0,100.0,chung cư thường,unk,9.0,21.0363703,105.7808626
 môi giới ,1.0,25.0,chung cư studio,full,4.5,21.0057491,105.8225012
 môi giới ,1.0,30.0,chung cư studio,full,4.5,21.0143249,105.8349181
 môi giới ,2.0,50.0,chung cư mini,full,4.5,20.9872721,105.8414718
 cá nhân ,2.0,45.0,chung cư mini,unk,5.0,20.9866145,105.8413055
 môi giới ,2.0,65.0,chung cư thường,full,5.0,20.9654323,105.7894045
 môi giới ,2.0,80.0,chung cư thường,full,7.0,21.0000784,105.872341
 môi giới ,3.0,90.0,chung cư thường,unk,7.0,20.9829788,105.8349562
 cá nhân ,3.0,101.0,chung cư thường,full cao cấp,20.0,21.0120283,105.7923126
 cá nhân ,2.0,60.0,chung cư thường,full,3.0,20.9647433,105.8272272
 cá nhân ,2.0,50.0,chung cư thường,full,5.8,21.0115521,105.8045107
 môi giới ,1.0,25.0,chung cư thường,full,3.8,20.9830938,105.8129692
 môi giới ,3.0,85.0,chung cư thường,full,15.0,20.9952447,105.8007001
 môi giới ,3.0,100.0,chung cư thường,full,17.0,21.0232492,105.7899901
 cá nhân ,1.0,25.0,chung cư thường,full,5.0,21.0113444,105.8397575
 môi giới ,1.0,25.0,chung cư studio,full,4.4,21.035864,105.791444
 môi giới ,2.0,61.0,chung cư thường,full,12.0,21.031007,105.7598975
 môi giới ,3.0,125.0,chung cư thường,full,25.0,21.011456,105.86299
 môi giới ,2.0,55.0,chung cư thường,unk,7.9,21.017032,105.7982605
 môi giới ,1.0,35.0,chung cư thường,unk,5.5,20.9995544,105.8113326
 môi giới ,3.0,83.0,chung cư thường,nguyên bản,5.0,20.9599379,105.8337546
 cá nhân ,1.0,30.0,chung cư mini,full,3.6,20.9663677,105.8162878
 môi giới ,3.0,106.0,chung cư thường,full,12.0,21.0161952,105.7802602
 môi giới ,2.0,80.0,chung cư thường,full,10.0,21.0206935,105.8250394
 môi giới ,2.0,60.0,chung cư thường,full,9.5,21.0291608,105.7689556
 môi giới ,2.0,54.0,chung cư thường,full,9.5,21.0344798,105.770146
 cá nhân ,1.0,50.0,chung cư mini,unk,4.5,21.0347417,105.7946177
 môi giới ,1.0,30.0,chung cư thường,full cao cấp,6.7,21.0224131,105.8595791
 môi giới ,3.0,110.0,chung cư thường,full,13.5,21.0071986,105.8070463
 cá nhân ,3.0,120.0,chung cư thường,full,30.0,21.0645147,105.8227599
 môi giới ,2.0,60.0,chung cư thường,full,9.0,21.0333694,105.7697198
 môi giới ,3.0,108.0,chung cư thường,full,15.0,21.0738351,105.8076991
 môi giới ,1.0,40.0,chung cư studio,full cao cấp,9.0,21.0105633,105.7994223
 môi giới ,1.0,39.0,chung cư studio,full,4.5,21.0164183,105.9448441
 môi giới ,1.0,45.0,chung cư cao cấp,unk,6.5,21.067401,105.811009
 môi giới ,1.0,40.0,chung cư thường,full,9.0,21.0718193,105.8054102
 môi giới ,1.0,27.0,chung cư mini,full,3.6,20.9964358,105.7709164
 cá nhân ,1.0,32.0,chung cư thường,full,3.5,20.9869339,105.8384993
 môi giới ,1.0,30.0,chung cư thường,full,4.5,21.0215032,105.7748645
 cá nhân ,3.0,100.0,chung cư thường,nguyên bản,10.5,20.9916037,105.7845561
 môi giới ,2.0,70.0,chung cư thường,full,5.0,21.0644176,105.9045285
 cá nhân ,1.0,40.0,chung cư thường,full cao cấp,4.6,21.0325407,105.7990693
 môi giới ,2.0,76.0,chung cư thường,full,8.0,21.0237785,105.7670494
 môi giới ,1.0,42.0,chung cư mini,full,4.0,21.0192679,105.8343318
 cá nhân ,1.0,30.0,chung cư tập thể,unk,4.0,21.0104484,105.8184403
 cá nhân ,2.0,15.0,chung cư mini,full,2.5,21.0396318,105.8276543
 môi giới ,3.0,140.0,chung cư thường,unk,10.0,21.0301539,105.7742632
 cá nhân ,2.0,75.0,chung cư tập thể,full,3.7,20.9582373,105.8424053
 môi giới ,1.0,28.0,chung cư thường,full,6.5,21.0041237,105.7819569
 môi giới ,3.0,110.0,chung cư thường,full cao cấp,22.0,21.0300655,105.8226591
 cá nhân ,2.0,60.0,chung cư thường,full,6.5,16.280329,107.8594475
 môi giới ,3.0,110.0,chung cư thường,cơ bản,6.0,21.082717,105.7851
 cá nhân ,3.0,120.0,chung cư thường,full cao cấp,20.0,21.0028962,105.789112
 môi giới ,2.0,79.0,chung cư thường,full,10.0,21.0852602,105.816961
 môi giới ,2.0,80.0,chung cư thường,cơ bản,8.0,21.0070457,105.8029953
 môi giới ,1.0,22.0,chung cư thường,full,3.6,21.0379862,105.7737345
 môi giới ,1.0,32.0,chung cư thường,unk,3.6,20.9626288,105.8121667
 cá nhân ,1.0,24.0,chung cư thường,full,4.0,21.0475053,105.8476222
 môi giới ,1.0,30.0,chung cư thường,full,3.0,21.0538868,105.7876175
 môi giới ,2.0,80.0,chung cư thường,full,5.0,20.9684049,105.786636
 môi giới ,3.0,43.0,chung cư thường,unk,2.75,20.9770005,105.896559
 môi giới ,2.0,50.0,chung cư thường,unk,6.5,21.0272814,105.8177424
 môi giới ,2.0,55.0,chung cư thường,unk,8.0,21.0111565,105.8045752
 cá nhân ,3.0,115.0,chung cư thường,full,10.5,20.9975498,105.8093537
 môi giới ,2.0,70.0,chung cư thường,full,10.0,20.9906886,105.8141433
 môi giới ,1.0,35.0,chung cư mini,full,3.5,20.9828413,105.8121513
 môi giới ,1.0,35.0,chung cư thường,full,3.7,20.9663677,105.8162878
 môi giới ,2.0,45.0,chung cư tập thể,unk,5.0,21.0006297,105.8538353
 cá nhân ,2.0,30.0,chung cư thường,full,4.0,20.9977628,105.8399351
 cá nhân ,2.0,30.0,chung cư tập thể,nguyên bản,4.0,21.0240384,105.8155878
 cá nhân ,2.0,80.0,chung cư thường,cơ bản,9.0,21.0738351,105.8076991
 môi giới ,2.0,59.0,chung cư thường,full,4.0,21.0164183,105.9448441
 môi giới ,2.0,55.0,chung cư mini,full,8.3,21.0105575,105.8065603
 môi giới ,2.0,61.0,chung cư thường,full,10.0,21.0738351,105.8076991
 môi giới ,2.0,65.0,chung cư thường,cơ bản,9.0,21.0270609,105.8194896
 môi giới ,1.0,50.0,chung cư studio,full,9.0,21.0060414,105.8065104
 môi giới ,2.0,70.0,chung cư thường,nguyên bản,4.5,21.0435239,105.9068002
 môi giới ,2.0,65.0,chung cư thường,cơ bản,9.5,21.0181513,105.7894426
 cá nhân ,2.0,30.0,chung cư tập thể,full,3.8,21.0090528,105.8656368
 môi giới ,1.0,38.0,chung cư studio,full,9.5,21.0105633,105.7994223
 cá nhân ,1.0,60.0,chung cư cao cấp,nguyên bản,7.0,21.0119356,105.8359788
 môi giới ,2.0,70.0,chung cư thường,full,6.0,20.9599379,105.8337546
 môi giới ,1.0,25.0,chung cư mini,full cao cấp,4.0,20.9953643,105.8143573
 môi giới ,3.0,83.0,chung cư thường,full,7.0,20.9684049,105.786636
 môi giới ,2.0,80.0,chung cư thường,cơ bản,9.0,21.0442326,105.7673186
 môi giới ,2.0,70.0,chung cư thường,full,6.0,20.9377795,105.8523033
 cá nhân ,2.0,63.0,chung cư thường,full,4.5,21.0315136,105.9108488
 môi giới ,3.0,88.0,chung cư thường,full,12.0,20.9960032,105.8051102
 cá nhân ,1.0,45.0,chung cư thường,full,7.5,21.0722137,105.8143019
 môi giới ,3.0,100.0,chung cư thường,full,11.0,20.9936291,105.8059224
 môi giới ,3.0,85.0,chung cư thường,cơ bản,8.0,20.9700447,105.8327123
 cá nhân ,1.0,35.0,chung cư mini,full,4.2,21.0363919,105.7788321
 cá nhân ,1.0,45.0,chung cư thường,unk,18.0,21.0527064,105.8124938
 môi giới ,2.0,80.0,chung cư thường,unk,7.0,20.9882537,105.7988373
 cá nhân ,1.0,35.0,chung cư tập thể,unk,4.0,21.020889,105.8158204
 môi giới ,3.0,110.0,chung cư thường,full,11.5,21.036819,105.7808467
 môi giới ,2.0,63.0,chung cư thường,unk,4.5,21.0430381,105.9016891
 môi giới ,2.0,76.0,chung cư thường,full cao cấp,7.5,20.9966525,105.8800926
 môi giới ,3.0,154.0,chung cư thường,unk,39.0,21.0919168,105.7850022
 môi giới ,2.0,70.0,chung cư thường,full,8.0,20.973457,105.8669431
 môi giới ,2.0,100.0,chung cư thường,full cao cấp,10.0,20.9962477,105.8545797
 môi giới ,2.0,84.0,chung cư thường,cơ bản,9.0,20.9979677,105.8411428
 môi giới ,3.0,130.0,chung cư thường,unk,20.0,21.015181,105.8338291
 cá nhân ,2.0,75.0,chung cư thường,nguyên bản,8.0,20.9988908,105.8752365
 môi giới ,3.0,100.0,chung cư tập thể,full,8.5,21.0080687,105.8272621
 môi giới ,2.0,75.0,chung cư thường,full,11.0,21.0596756,105.8040796
 môi giới ,1.0,35.0,chung cư mini,full,3.7,20.9745255,105.8158502
 môi giới ,3.0,118.0,chung cư thường,full,19.0,20.9972755,105.8671037
 môi giới ,3.0,87.0,chung cư thường,full cao cấp,18.0,21.0461519,105.9156477
 môi giới ,2.0,56.0,chung cư thường,nguyên bản,6.0,20.9642105,105.8452224
 cá nhân ,2.0,54.0,chung cư thường,unk,9.5,21.0183106,105.7691467
 môi giới ,4.0,132.0,chung cư thường,cơ bản,7.0,21.0057343,105.7485358
 môi giới ,2.0,53.0,chung cư thường,full,12.0,21.0105633,105.7994223
 cá nhân ,2.0,50.0,chung cư mini,unk,6.5,21.007922,105.812595
 môi giới ,2.0,70.0,chung cư thường,full cao cấp,3.0,21.038253,105.8292935
 cá nhân ,1.0,25.0,chung cư thường,unk,3.0,21.0129882,105.820014
 cá nhân ,1.0,40.0,chung cư mini,unk,3.0,20.9923944,105.813598
 môi giới ,1.0,57.0,chung cư thường,full cao cấp,10.0,21.0042501,105.8695696
 môi giới ,1.0,60.0,chung cư studio,full,3.0,20.9971504,105.8216911
 môi giới ,1.0,40.0,chung cư studio,full,4.0,21.0008727,105.8289214
 môi giới ,2.0,72.0,chung cư thường,unk,6.5,20.9642105,105.8452224
 môi giới ,1.0,30.0,chung cư thường,full cao cấp,6.5,21.0041237,105.7819569
 môi giới ,2.0,86.0,chung cư thường,full,5.0,21.2057768,105.7680557
 môi giới ,2.0,70.0,chung cư thường,unk,10.0,21.0562709,105.9132404
 môi giới ,2.0,65.0,chung cư thường,full cao cấp,8.0,20.9911024,105.8630615
 cá nhân ,1.0,45.0,chung cư thường,full,6.0,21.0344065,105.7977219
 môi giới ,1.0,38.0,chung cư thường,full,10.0,21.0043594,105.7944744
 môi giới ,2.0,72.0,chung cư thường,full,8.5,20.9999913,105.8699539
 môi giới ,2.0,88.0,chung cư thường,full,7.7,21.0787156,105.8163593
 môi giới ,2.0,63.0,chung cư thường,full cao cấp,9.0,21.0183106,105.7691467
 môi giới ,2.0,74.0,chung cư thường,cơ bản,7.0,20.9642105,105.8452224
 môi giới ,1.0,65.0,chung cư thường,full,7.0,21.0768702,105.8148708
 môi giới ,2.0,98.0,chung cư thường,full,8.5,20.9984939,105.8810622
 môi giới ,3.0,115.0,chung cư thường,full,14.0,21.0042496,105.8033839
 môi giới ,1.0,40.0,chung cư thường,unk,5.5,20.9887356,105.8187558
 môi giới ,2.0,80.0,chung cư thường,full,7.0,21.0215516,105.7910173
 môi giới ,1.0,45.0,chung cư thường,unk,4.5,20.9599379,105.8337546
 cá nhân ,3.0,80.0,chung cư thường,full,8.0,20.9599379,105.8337546
 môi giới ,1.0,45.0,chung cư thường,full cao cấp,5.0,21.0164183,105.9448441
 môi giới ,1.0,45.0,chung cư mini,full cao cấp,5.5,21.0249208,105.8112625
 môi giới ,1.0,20.0,chung cư thường,full,3.7,21.0197509,105.8027162
 cá nhân ,2.0,48.0,chung cư mini,full,5.0,21.0387273,105.7709706
 môi giới ,2.0,95.0,chung cư thường,full,13.0,21.036819,105.7808467
 cá nhân ,2.0,77.0,chung cư thường,full,7.5,20.9892354,105.8745359
 môi giới ,1.0,38.0,chung cư studio,full cao cấp,9.0,21.0043594,105.7944744
 môi giới ,1.0,38.0,chung cư studio,full,10.0,21.0105633,105.7994223
 môi giới ,2.0,83.0,chung cư thường,full,11.0,21.0395176,105.7654031
 môi giới ,1.0,45.0,chung cư thường,full cao cấp,4.0,21.0164183,105.9448441
 môi giới ,2.0,80.0,chung cư thường,cơ bản,8.5,20.9780643,105.8361322
 cá nhân ,1.0,40.0,chung cư mini,full,4.5,20.9626241,105.812164
 môi giới ,2.0,60.0,chung cư thường,full,9.55,21.0297336,105.8216223
 môi giới ,1.0,27.0,chung cư mini,unk,3.8,21.0377412,105.8008204
 môi giới ,2.0,105.0,chung cư thường,full,14.0,21.0007314,105.8160439
 cá nhân ,1.0,30.0,chung cư mini,unk,5.5,21.0117673,105.8156649
 môi giới ,2.0,70.0,chung cư tập thể,full,7.0,20.9855403,105.7989432
 môi giới ,1.0,40.0,chung cư thường,full,7.0,21.0718193,105.8054102
 môi giới ,2.0,80.0,chung cư thường,full,10.0,21.0652141,105.8077605
 môi giới ,2.0,72.0,chung cư thường,full,14.0,21.0371784,105.8730678
 cá nhân ,1.0,32.0,chung cư thường,full,5.6,21.0015854,105.7995792
 môi giới ,1.0,30.0,chung cư thường,full,3.2,20.9663677,105.8162878
 môi giới ,1.0,38.0,chung cư thường,full,4.0,20.9828413,105.8121513
 cá nhân ,2.0,68.0,chung cư thường,full cao cấp,9.0,21.0461519,105.9156477
 môi giới ,2.0,70.0,chung cư thường,cơ bản,7.0,21.0344536,105.7658695
 cá nhân ,3.0,110.0,chung cư thường,cơ bản,12.0,20.9942444,105.8567243
 môi giới ,2.0,77.0,chung cư thường,cơ bản,11.0,20.9979896,105.8666987
 môi giới ,2.0,70.0,chung cư thường,unk,11.0,21.0042496,105.8033839
 môi giới ,3.0,110.0,chung cư thường,cơ bản,12.5,21.0071986,105.8070463
 môi giới ,2.0,74.0,chung cư thường,full,10.5,21.0042496,105.8033839
 môi giới ,2.0,75.0,chung cư thường,full,10.0,20.9828584,105.7813337
 cá nhân ,1.0,30.0,chung cư tập thể,unk,3.0,21.0045848,105.8386148
 môi giới ,2.0,70.0,chung cư thường,full,13.0,21.0349188,105.7643975
 môi giới ,1.0,25.0,chung cư thường,full,3.6,20.988178,105.7931515
 môi giới ,1.0,30.0,chung cư mini,full,5.5,21.0348807,105.7854837
 môi giới ,2.0,86.0,chung cư thường,cơ bản,9.5,21.0161952,105.7802602
 môi giới ,2.0,72.0,chung cư thường,full cao cấp,13.0,21.0105633,105.7994223
 môi giới ,2.0,67.0,chung cư thường,unk,6.0,20.9599379,105.8337546
 môi giới ,2.0,80.0,chung cư thường,unk,7.0,21.0345703,105.7659098
 môi giới ,3.0,112.0,chung cư thường,full cao cấp,20.0,21.0105633,105.7994223
 môi giới ,2.0,60.0,chung cư thường,full,11.0,21.0366497,105.7791356
 môi giới ,3.0,90.0,chung cư thường,full,12.0,21.0569074,105.7842341
 cá nhân ,1.0,30.0,chung cư thường,full,5.5,21.0380561,105.7734646
 môi giới ,2.0,61.0,chung cư thường,nguyên bản,8.5,21.031007,105.7598975
 cá nhân ,1.0,45.0,chung cư thường,full,3.9,21.0466704,105.8488571
 môi giới ,1.0,35.0,chung cư thường,unk,4.0,21.0022646,105.8227453
 môi giới ,2.0,70.0,chung cư thường,unk,8.0,21.0562709,105.9132404
 môi giới ,3.0,95.0,chung cư thường,unk,20.0,21.0043594,105.7944744
 môi giới ,1.0,28.0,chung cư thường,full,6.5,21.0041237,105.7819569
 môi giới ,2.0,80.0,chung cư thường,full,16.0,21.0105633,105.7994223
 môi giới ,2.0,80.0,chung cư thường,full,8.0,21.0309202,105.7592414
 môi giới ,2.0,67.0,chung cư thường,full cao cấp,9.0,21.0183106,105.7691467
 môi giới ,2.0,84.0,chung cư thường,full cao cấp,12.5,21.0064922,105.7678412
 môi giới ,2.0,105.0,chung cư thường,full cao cấp,18.0,21.0007314,105.8160439
 môi giới ,2.0,105.0,chung cư thường,full cao cấp,18.0,21.0007314,105.8160439
 môi giới ,2.0,70.0,chung cư thường,full,10.5,21.0094856,105.8189736
 môi giới ,2.0,55.0,chung cư thường,full,7.0,21.0164183,105.9448441
 môi giới ,2.0,96.0,chung cư thường,full cao cấp,13.5,21.0309144,105.7839062
 môi giới ,1.0,30.0,chung cư thường,full,3.0,21.004722,105.8220581
 môi giới ,1.0,40.0,chung cư thường,unk,4.0,20.9831452,105.8153205
 môi giới ,2.0,75.0,chung cư thường,full,10.0,20.9732872,105.7783099
 môi giới ,2.0,83.0,chung cư thường,unk,7.0,21.0344536,105.7658695
 môi giới ,2.0,76.0,chung cư thường,unk,6.5,20.9700121,105.7845376
 môi giới ,2.0,80.0,chung cư tập thể,cơ bản,7.5,21.021683,105.8150866
 môi giới ,2.0,75.0,chung cư thường,full cao cấp,9.0,20.9628948,105.8238927
 cá nhân ,2.0,80.0,chung cư thường,full,7.0,21.0325296,105.7773344
 môi giới ,3.0,123.0,chung cư thường,full,26.0,21.0852602,105.816961
 môi giới ,1.0,40.0,chung cư thường,unk,6.0,21.0375046,105.8454871
 môi giới ,1.0,25.0,chung cư mini,full,3.7,20.9963169,105.813683
 môi giới ,2.0,85.0,chung cư thường,full,7.0,21.0786522,105.802612
 môi giới ,1.0,28.0,chung cư thường,full,3.5,21.0513864,105.7377417
 môi giới ,1.0,40.0,chung cư thường,unk,6.0,21.0375046,105.8454871
 môi giới ,1.0,25.0,chung cư mini,full,3.5,21.0116632,105.8220001
 môi giới ,1.0,30.0,chung cư studio,full,7.5,21.0174168,105.7820991
 cá nhân ,1.0,43.0,chung cư thường,full cao cấp,12.0,21.0718193,105.8054102
 môi giới ,3.0,90.0,chung cư thường,full cao cấp,18.0,21.0041237,105.7819569
 cá nhân ,3.0,112.0,chung cư thường,full,14.0,21.0053323,105.8063038
 môi giới ,2.0,94.0,chung cư thường,unk,8.0,20.972307,105.7955793
 cá nhân ,2.0,67.0,chung cư thường,full,8.0,20.9691528,105.8712822
 môi giới ,1.0,35.0,chung cư thường,full,5.7,21.0015854,105.7995792
 môi giới ,2.0,110.0,chung cư thường,full cao cấp,12.0,21.049651,105.7955446
 cá nhân ,1.0,37.0,chung cư thường,full,3.7,21.07043,105.8091699
 cá nhân ,1.0,22.0,chung cư thường,full,4.5,21.0348708,105.8103439
 cá nhân ,3.0,87.0,chung cư thường,full,9.0,20.9949854,105.8618485
 môi giới ,2.0,73.0,chung cư thường,nguyên bản,5.5,20.9599379,105.8337546
 môi giới ,1.0,33.0,chung cư thường,unk,4.3,21.0347417,105.7946177
